Village_Name,District,State,Latitude,Longitude,Rainfall_mm,Population,Population_Density,Elevation_m,Slope_Degree,Historical_Hazard_Count,Risk_Score,Risk_Category,Relocation_Priority
Dhemaji,Assam,Assam,27.48,94.72,1828,1084,269.4,323,8.6,40,50.0,Yellow,Low
Jonai,Assam,Assam,27.82,95.16,1507,2005,477.8,321,14.2,40,53.2,Yellow,Low
Sissiborgaon,Assam,Assam,27.63,94.76,1927,1292,1247.3,114,10.7,40,59.5,Yellow,Low
Gogamukh,Assam,Assam,27.45,94.53,1639,321,155.5,302,19.6,40,56.2,Yellow,Low
Gerukamukh,Assam,Assam,27.57,94.77,1803,726,252.0,5,7.6,40,51.4,Yellow,Low
Majuli,Assam,Assam,27.0,94.22,2317,1062,236.8,5,6.2,40,52.6,Yellow,Low
Kamalabari,Assam,Assam,26.95,94.18,1756,431,121.3,5,8.6,40,52.9,Yellow,Low
Lakhimpur,Assam,Assam,27.23,94.1,2105,1142,370.8,7,0.5,40,52.2,Yellow,Low
Dhakuakhana,Assam,Assam,27.18,94.75,2170,1190,475.5,5,0.5,40,51.4,Yellow,Low
Narayanpur,Assam,Assam,27.03,93.93,1872,492,205.1,5,6.8,40,52.0,Yellow,Low
Biswanath,Assam,Assam,26.73,93.15,1471,498,183.1,258,0.5,40,44.2,Yellow,Low
Gohpur,Assam,Assam,26.88,93.62,1766,1267,402.1,5,7.6,40,51.5,Yellow,Low
Sootea,Assam,Assam,26.67,93.17,1583,397,101.9,5,16.8,40,53.2,Yellow,Low
Behali,Assam,Assam,26.94,93.59,2305,617,186.0,23,7.3,40,53.4,Yellow,Low
Dibrugarh,Assam,Assam,27.47,94.91,2079,532,229.1,5,12.2,40,56.3,Yellow,Low
Naharkatia,Assam,Assam,27.29,95.34,1922,223,198.2,119,0.5,40,48.5,Yellow,Low
Tingrai,Assam,Assam,27.42,95.36,1600,1026,378.0,5,0.5,40,45.6,Yellow,Low
Tinsukia,Assam,Assam,27.49,95.36,2008,672,376.4,5,0.5,40,50.5,Yellow,Low
Doomdooma,Assam,Assam,27.57,95.57,1791,735,153.2,170,0.5,40,49.3,Yellow,Low
Sadiya,Assam,Assam,27.83,95.67,1675,164,54.1,5,0.5,40,46.3,Yellow,Low
Pasighat,Arunachal Pradesh,Arunachal Pradesh,28.07,95.33,2280,391,198.2,5,27.2,40,63.8,Orange,Medium
Mebo,Arunachal Pradesh,Arunachal Pradesh,28.0,95.24,2343,526,115.5,5,48.0,40,71.6,Orange,Medium
Dambuk,Arunachal Pradesh,Arunachal Pradesh,28.29,95.57,1986,145,82.6,298,40.0,40,67.6,Orange,Medium
Roing,Arunachal Pradesh,Arunachal Pradesh,28.15,95.84,2603,465,98.1,5,32.1,40,66.5,Orange,Medium
Tezu,Arunachal Pradesh,Arunachal Pradesh,27.91,96.13,2336,619,241.0,43,38.7,40,70.1,Orange,Medium
Namsai,Arunachal Pradesh,Arunachal Pradesh,27.67,95.86,2847,544,341.5,259,40.3,40,75.0,Orange,Medium
Changlang,Arunachal Pradesh,Arunachal Pradesh,27.12,96.73,2732,247,91.5,518,39.4,40,69.6,Orange,Medium
Khonsa,Arunachal Pradesh,Arunachal Pradesh,27.02,95.56,1274,271,199.7,5,19.5,40,50.2,Yellow,Low
Anini,Arunachal Pradesh,Arunachal Pradesh,28.8,94.97,2126,467,118.9,5,48.0,40,70.1,Orange,Medium
Tawang,Arunachal Pradesh,Arunachal Pradesh,27.59,91.86,2015,207,108.5,103,22.7,40,60.3,Orange,Medium
Bomdila,Arunachal Pradesh,Arunachal Pradesh,27.26,92.4,2413,188,40.3,72,37.0,40,69.8,Orange,Medium
Aalo,Arunachal Pradesh,Arunachal Pradesh,28.17,94.8,2241,100,46.0,319,39.2,40,67.4,Orange,Medium
Yingkiong,Arunachal Pradesh,Arunachal Pradesh,28.62,94.73,2543,311,79.3,5,38.0,40,68.7,Orange,Medium
Daporijo,Arunachal Pradesh,Arunachal Pradesh,27.99,94.22,2734,496,203.8,927,46.8,40,71.4,Orange,Medium
Ziro,Arunachal Pradesh,Arunachal Pradesh,27.54,93.83,2446,236,108.6,490,34.5,40,64.9,Orange,Medium
Itanagar,Arunachal Pradesh,Arunachal Pradesh,27.08,93.61,2530,318,405.1,5,41.8,40,76.1,Orange,Medium
Naharlagun,Arunachal Pradesh,Arunachal Pradesh,27.1,93.7,2207,88,70.0,5,25.8,40,62.9,Orange,Medium
Seppa,Arunachal Pradesh,Arunachal Pradesh,27.37,93.05,2530,261,70.2,304,40.5,40,64.6,Orange,Medium
Hayuliang,Arunachal Pradesh,Arunachal Pradesh,28.08,96.46,2413,219,90.5,590,45.7,40,67.6,Orange,Medium
Aizawl,Mizoram,Mizoram,23.73,92.72,2599,516,118.0,249,47.3,40,74.0,Orange,Medium
Lunglei,Mizoram,Mizoram,22.89,92.75,2890,317,68.5,212,32.3,40,69.4,Orange,Medium
Champhai,Mizoram,Mizoram,23.47,93.32,2083,268,100.6,369,48.0,40,67.7,Orange,Medium
Kolasib,Mizoram,Mizoram,24.22,92.68,2771,320,195.0,430,38.6,40,68.7,Orange,Medium
